Taxon	C12FCHL	C12FCHS	C13FJBL	C13FJBS	C14FJOS	C14FJOL	C15FNSL	C15FNSS	C15FTCL	C15FTCS	C16FHWL	C16FHWS	C17FHEL	C17FHES	C18FCLL	C18FCLS	C18FHHL	C18FHHS	C18FTGL	C18FTGS	C19FTTL	C19FTTS	C20FJAL	C20FJAS	C20FPHL	C20PHS	C2F1L	C2F1S	C2F4F1	C2F4F2	C2F4F3	C2F4L1	C2F4L2	C2F4L3	C2F4S1	C2F4S2	C2F4S3	C3F10L	C3F10S	C3F14L	C3F14S	C4F17F1	C4F17F2	C4F17F3	C4F17L1	C4F17L2	C4F17L3	C4F17S1	C4F17S2	C4F17S3	C4F8L	C4F8PC	C4F8PP	C4F8S	C6F35L	C6F35S	C6F37L	C6F37S	C6F60L	C6F60S	C7F14L	C7F14S	C7F22L	C7F22S	C7F81L	C7F81S	C8F40F1	C8F40F2	C8F40F3	C8F40L1	C8F40L2	C8F40L3	C8F40S1	C8F40S2	C8F40S3
SGB24958	0.39413	0.05116	0.18176	0	0	1.8441	0.07765	0	0.8323	0	0.6378	0.00069	0.2309	0	0.26346	0	0.06817	0	0.01991	0	0.26798	0	0.0843	0	0.20182	0	0.01258	0.0013	0	0	0	0.08994	0.1619	0.13905	0.22348	0.14218	0.17393	0.18151	0.00325	0.35439	0	0	0	0	1.88287	1.23826	1.69627	0	0	0	0.58847	0	0	0	0.07639	0.09306	0.06309	0	0.09884	0	0.05598	0	0.56286	0.00628	0.04758	0	0.2235	0	0.00769	0.12204	0.16048	0.12434	0.01595	0.0053	0.01543
SGB7045	0.37753	0.06413	0.14506	0	0	0.41534	0.13725	0	0.26043	0	0.35995	0.00031	0.50381	0.00309	0.96578	0	0.38997	0	1.02051	0.00345	1.04745	0	0.48726	0	1.57143	0	0.00647	0	0	0	0	0.00549	0.00659	0.01567	0.04507	0	0	0.10291	0	0.13727	0	0	0	0	0.303	0.34567	0.44536	0	0	0	0.33305	0	0.06671	0	0.67509	0.20377	1.06197	0.0007	0.48825	0.00641	0.91418	0.00192	1.07889	0.00202	0.78356	0	0	0	0	1.53546	1.37481	1.47684	1.04044	0.77491	0.7284
SGB7041	0.35147	0.05437	0.3027	0	0	0.41154	0.24211	0	0.28618	0	0.42025	0.00042	0.45508	0.00107	0.45823	0	0.37765	0	0.52946	0.00349	0.45339	0	0.28707	0	0.64094	0	0.00793	0	0	0	0	0.01859	0.04961	0.06314	0.20481	0.04906	0.06265	0.17666	0.00287	0.1736	0	0	0	0	0.36802	0.37264	0.45527	0	0	0	0.28212	0	0.00022	0	0.38236	0.12063	0.44321	0	0.39958	0.00488	0.62793	0	0.53399	0	0.36934	0	0	0	0	0.78367	0.84968	0.69292	0.47507	0.33635	0.33155
SGB87943	0.34791	0.0082	0.48167	0	0	0.06124	0.08791	0	0.08969	0	0.00472	0.00279	0.05423	0	0.00085	0	0.01264	0	0	0	0	0	0.00254	0	0.00096	0	1.03284	0.00878	0	0	0	0.5553	0.7068	0.58743	0.0687	0.14821	0.10669	0.74248	0.04326	0.90482	0	0	0	0	0.30006	0.29502	0.1893	0.00948	0.01199	0.01927	0.10722	0	0	0	0.00102	0.05197	0.03425	0	0.00814	0	0	0	0.00571	0	0.00084	0	0	0	0	0	0	0	0.01882	0.00997	0.00437
SGB34200	0.32564	0.03271	0.14514	0	0	3.59509	0.30148	0	1.48081	0.0025	0.27509	0.00154	0.00982	0.0004	0.00386	0	0.00312	0	0	0.00379	0	0	0.00478	0.00389	0.00133	0	0.38998	0.0185	0	0	0	0.3168	0.28269	0.26908	0.35554	0.37864	0.30639	0.83331	0.05219	2.85081	0.00108	0	0	0	2.12269	1.71633	2.00272	0.0005	0	0.00121	2.89918	0	0	0.00547	8.00E-05	0.74783	0.07517	0	0.00252	0.00709	0	0	0.00063	0.01147	5.00E-05	0	0	0	0	0	0	0	0.07134	0.14243	0.12702
SGB7843	0.18626	0.00125	0.03712	0	0	2.10365	0.0357	0	0.24823	0	0.23017	0.00163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01482	0.0217	0.01861	0	0	0	0	0.21772	0.19013	0.33169	0	0	0	0.00895	0	0	0	0	0.14382	0.01435	0	0.00253	0	0.01163	0	0.00181	0	0.00057	0	0.05636	0	0	0	0	0	0.00747	0.00449	0.01134
SGB16651	0.18585	0.00551	0.38536	0.00023	0	1.38174	7.03193	0.0009	8.15968	0.00255	2.6045	0.0066	1.09227	0.01062	0.93485	0.00506	0.21816	0.00227	0.1595	0.03384	0.48728	0	0.58781	0.05317	0.41862	0.00039	0.11037	0	0	0	0	0.02227	0.02275	0.01836	0.00105	0.00176	0.00101	3.1798	0.14563	10.72085	0.00899	0	0	0	1.90696	1.02878	1.68488	0.00152	0.0008	0.00269	0.04101	0	0	0	1.25289	2.73818	3.63528	0.01214	0.63303	0.21143	0.14653	0	1.48648	0.202	0.17867	0	0.02701	0	0	0.16673	0.38523	0.30124	0.44523	0.31647	0.34422
SGB7798	0.15634	0.01265	0.04916	0	0	0.00527	0.82969	0	1.06857	0	0.69931	0.00119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04474	0	0	0	0	0.35139	0.2781	0.31721	0.2444	0.29373	0.36322	0.60835	0.0006	0.48339	0	0	0	0	1.49094	1.25685	1.36743	0	0	0	0.30778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB87969	0.14802	0.0267	0.00846	0	0	0	0.00039	0	0.00013	0	0	0.0004	0.17215	0	0.00474	0	0.00183	0	0.01675	0	0.3267	0	0.01719	0	0.11602	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0886	0.08719	0.00254	0	0.06841	0	0.00231	0	0.00176	0	0.08817	0	0	0	0	0.01098	0.01542	0.0157	0.00192	0	0.00095
SGB66231	0.14387	0.00259	0.02281	0.002	0	0.23732	0.00048	0	0.04405	0	0.0009	0.01473	0	0	0	0	0.00038	0.00104	0	0	0	0	0.00099	0	0	0	0.04351	0.01491	0.00037	0.00113	0	0.10529	0.14486	0.12816	0.06004	0.07895	0.08774	0.02576	0.00397	0.07623	0	0	0	0	0.22044	0.22326	0.20643	0	0	0	0.6657	0	0	0.00417	0	2.00E-05	0.00362	0	0	0	0	0	0	3.00E-05	0	0	0	0	0	0	0	0	0	0	0
SGB7817	0.1432	0.04318	0.50876	0	0	3.86777	0.62557	0	1.20041	0	1.20533	0.00068	0.22528	0.00014	0.38706	0	0.23942	0	0.64029	0.02445	0.79921	0	0.47969	0	0.52472	0	0.08801	0	0	0	0	0.05295	0.03826	0.04425	0.19905	0.03229	0.03288	0.22639	0.03061	0.45694	0	0	0	0	0.87553	0.72841	1.09463	0	0	0	0.12511	0	0	0.00471	0.87224	1.08642	1.97127	0.00436	0.86749	0.02527	0.37299	0.00019	1.04336	0.01948	0.8852	0	0.02601	0	0.00752	1.70604	1.62204	1.71381	0.87528	1.61091	0.89321
SGB16636_group	0.1332	0.01085	0.04634	0	0	1.92582	0.03301	0	0.38549	0	0.06116	0.00383	0.00171	0	0.00652	0	0.00052	0	0	0.00184	0	0	0.00035	0	0	0	0.01022	0.00453	0	0	0	0.02669	0.03525	0.03344	0.02289	0.02086	0.02452	0.07007	0.10894	0.41723	0	0	0	0	0.38973	0.34586	0.3643	0	0	0	0.71691	0	0	0	0	0.00231	0.01293	0	0.00015	0.0014	0	0	0.00012	0	0	0	0	0	0	0	0	0	0.01107	0.04123	0.0403
SGB7961	0.12891	0.01732	0.10628	0	0	0.30819	0.25809	0	0.31761	0	0.41751	0.00258	0.05863	0	0.09597	0	0.0249	0	0.17577	0	0.10912	0	0.1027	0	0.10918	0	0.00734	0	0	0	0	0.07233	0.13879	0.12297	0.20256	0.07302	0.09819	0.39448	0.0043	0.54785	0	0	0	0	0.75414	0.7528	0.95886	0	0	0	0.97998	0	0.00463	0	0.1365	0.04307	0.01656	0	0.16724	0.00184	0.11999	0	0.12861	0	0.12514	0	0	0	0	0.311	0.40054	0.35542	0.31912	0.06105	0.06204
SGB7095	0.12011	0.03342	0.08341	0	0	0.11489	0.03085	0	0.03593	0	0.06259	0	0.11127	0.00153	0.12322	0	0.07489	0	0.17113	0.04431	0.14385	0	0.09343	0	0.21329	0	0	0	0	0	0	0.01836	0.02652	0.0279	0.07269	0.02177	0.02129	0.03066	0.007	0.0285	0	0	0	0	0.08554	0.10744	0.10943	0	0	0	0.19603	0	0.00017	0	0.07021	0.05452	0.4015	0.00084	0.05074	0.00845	0.16394	0	0.17885	0.00064	0.09041	0	0	0	0	0.24103	0.24937	0.18887	0.17186	0.14127	0.13436
SGB25051	0.11962	0.03219	0.0855	0	0	0.08737	0.07383	0	0.13141	0	0.13893	0.00137	0.03906	0.00089	0.11678	0	0.04924	0	0.05369	0.00025	0.03257	0	0.09878	0	0.0525	0	0.02806	0	0	0	0	0.69822	0.90478	0.90221	0.65746	0.14551	0.23926	0.16295	0.00022	0.15912	0	0	0	0	0.4496	0.51931	0.40704	0	0	0	0.03423	0	0	0	0.05261	0.61369	0.09031	0	0.07085	0.02452	0.01362	0	0.33866	0.03343	0.02783	0	0.00422	0	0	0.06997	0.04941	0.05399	0.02513	0.05062	0.07121
SGB29715	0.10731	0.03322	0.01741	0	0	0.00113	0.01567	0	0.01365	0	0.10824	0	0.00935	0	0.00611	0	0.01782	0	0.01204	0.00023	0.0255	0	0.00406	0	0.01074	0	0.00152	0	0	0	0	0.00309	0.00272	0.00262	0	0	0	0.00041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02061	0.01683	0.00213	0	0.01317	0	0.00195	0	0.00778	0	0.013	0	0	0	0	0.01642	0.01471	0.01942	0.00543	0.00444	0.00331
SGB16655	0.10386	0	0.03179	0	0	0.002	0.00038	0	0.00053	0	0.00085	0	0	0	0.00113	0	0	0	0	0	0	0	0	0	0	0	0.00696	0.00132	0	0	0	0.01613	0.01638	0.01033	0.01994	0.00889	0.00692	1.00E-05	0.01925	2.00E-05	0	0	0	0	0.00011	0	0.00011	0	0	0	0.00029	0	0	0	0	0.0015	0.01828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB10068	0.09324	0.01119	0.10655	0	0	0.44035	0.04056	0	0.08777	0	0.07679	0.00115	0.13439	0	0.28094	0	0.0738	0	0.1561	0	0.18289	0	0.05821	0	0.20193	0	0	0	0	0	0	0	0	0	0.00251	0	0	0.01662	0	0.0822	0	0.75724	1.45809	1.52618	0.06572	0.06456	0.10311	0	0	0	0.14737	0	0	0	0.35361	0.03906	0.0797	0	0.31513	0	0.12951	0	0.15287	0	0.26822	0	0.11683	6.65742	10.00115	0.1759	0.24981	0.37198	0.04492	0.03078	0.07766
SGB7670	0.09208	0.00813	0.07669	0	0	0.00151	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25158	0.01181	0	0.00046	0.00058	0.58443	0.54807	0.67537	0.09626	0.09146	0.07171	0.00105	0.00407	0	0	0	0	0	0.01828	0.0243	0.02264	0.0488	0.03794	0.03663	0.0697	0	0	0.0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB8017	0.09065	0.01886	0.13029	0	0	0.28927	0.24112	0	0.38544	0	0.49504	0.00363	0.19837	0.00418	0.29253	0	0.0675	0	0.4195	0.01091	0.6186	0	0.10102	0	0.42911	0	0.03075	0	0	0	0	0.03821	0.04408	0.05527	0.36026	0.0494	0.06182	0.5815	0.01104	0.8282	0.00065	0	0	0	0.8031	0.92831	1.35723	0	0	0.00082	1.72701	0	0.05091	0	0.56884	0.07706	0.02514	0.00824	0.38432	0.02731	0.3902	0	0.4604	0.00209	0.52495	0	0.00953	0.0137	0.00719	0.68972	0.95029	0.69731	0.26538	0.2798	0.24085
SGB7081	0.07732	0.00423	0.0402	0	0	0.16563	0.09856	0	0.11937	0	0.19693	0.00015	0.05502	0	0.07001	0	0.01559	0	0.08146	0.00013	0.11705	0	0.06807	0	0.08459	0	0	0	0	0	0	0	0	0	0.01939	0	0	0.02294	0	0.05393	0	0	0	0	0.08426	0.09963	0.19251	0	0	0	0.1392	0	0	0	0.24744	0.02047	0	0	0.09441	0	0.15987	0	0.23783	0	0.26597	0	0	0	0	0.33907	0.57079	0.4302	0.32716	0.16279	0.05463
SGB7098	0.07561	0.01363	0.03748	0	0	0.19631	0.03407	0	0.06074	0	0.10096	0	0.03808	0	0.05366	0	0.04103	0	0.07355	0	0.07317	0	0.04442	0	0.08214	0	0	0	0	0	0	0.03081	0.04756	0.08461	0.07794	0.03301	0.04808	0.03859	0.00726	0.03511	0	0	0	0	0.10302	0.16495	0.13624	0	0	0	0.17244	0	0	0	0.01648	0.01531	0.08844	0	0.02426	0	0.06766	0	0.07367	0	0.01609	0	0	0	0	0.04945	0.08036	0.04176	0.02817	0.01368	0.01388
SGB11852	0.06856	0	0.1106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB33387	0.06705	0.00759	0.01249	0	0	0.00768	0.60482	0	0.88358	0	0.19576	0.00156	3.00E-05	0	0	0	0.00071	0	5.00E-05	0	0	0	0.00016	0	0	0	0.0182	0	0	0	0	0.33339	0.25405	0.30958	0.01491	0.03651	0.03192	0.45138	0.0048	0.23586	0	0	0	0	0.15578	0.11355	0.13666	0	0.0004	0.00075	0.0017	0	0	0	5.00E-05	0.01144	0	0	0.00023	0	0	0	0.00038	0	4.00E-05	0	0	0	0	0	0	0	0	0	0
SGB7105	0.05711	0.00582	0.01894	0	0	0.10556	0.05177	0	0.10547	0	0.07912	0	0.00559	0	0.01936	0	0.0054	0	0.02971	0	0.00991	0	0.00786	0	0.0318	0	0	0	0	0	0	0.00015	0.00149	0.00025	0.03593	0.00378	0.00032	0.0132	0	0.02749	0	0	0	0	0.0247	0.03921	0.04619	0	0	0	0.04818	0	0	0	0.02377	0.00926	0.00226	0	0.00852	0	0.04643	0	0.01377	0	0.02321	0	0	0	0	0.01615	0.0391	0.02205	0.00344	0.00057	0.00399
SGB7967	0.04825	0.00308	0.02922	0	0	0.04522	0.0594	0	0.03533	0	0.09116	0.00016	0.00443	0.00523	0.00682	0	0.01831	0	0.01393	0.0043	0.01419	0	0.01922	0.00993	0.04814	0.00028	0.00325	0.00988	0	0.0137	0.00694	0.09166	0.12536	0.12849	0.22994	0.04927	0.08949	0.09449	0.00095	0.05126	0	3.20229	2.58534	2.05978	0.10197	0.10965	0.14641	0	0	0	0.12551	0	0	0	0.03364	0.05275	0.05805	0.01302	0.04058	0.02285	0.01657	0	0.00835	0.03237	0.05866	0	0.01079	0.02592	0.00809	0.02966	0.00975	0.02144	0.02159	0.01406	0.02155
SGB34832	0.04276	0	0.0423	0	0	0.29145	0.29471	0	0.27021	0	0.1115	0.00276	0.00432	0	0.01276	0	0.01111	0	0	0	0	0	0.01301	0	0.00322	0	0.06764	0	0	0	0	0.0855	0.11468	0.08882	0.05644	0.08346	0.07028	0.16822	0.00772	0.2605	0	0	0	0	0.01105	0.00727	0.00736	0	0	0	0.02647	0	0	0	0.00037	0.00114	0.02804	0	0.00538	0	0	0	0.00243	0	0.00023	0	0	0	0	0	0	0	0	0	0
SGB34198	0.04067	0.00182	0.06417	0	0	1.8664	0.15465	0	0.37307	0	0.43599	0.00106	0.04717	0	0.00105	0	0.00779	0	0	0	0	0	0.00606	0	0.00012	0	0	0	0	0	0	0	5.00E-05	0	0	0	0	0.08934	0.17177	0.18099	0	0	0	0	0.01678	0.0125	0.01465	0	0	0	0.01298	0	0	0	4.00E-05	0.00074	0.11019	0	0.00023	0	0	0	0.00077	0	6.00E-05	0	0	0	0	0	0	0	0	0	0.00031
SGB6847	0.03887	0.01974	0.02704	0	0	0.00718	0.00411	0	0	0	0.01243	0	0	0	0	0	0	0	0.00104	0	0	0	0.00135	0	0	0	0.02318	0.00664	0	0	0	0.02581	0.0203	0.0276	0.00562	0.01111	0.01362	0.00712	0.00653	0	0	0.03576	0.02845	0.04367	0.00391	0.00869	0.00759	0.00345	0.00564	0.01319	0.00347	0	0	0	0.00597	0.00224	0	0.01101	0.00385	0	0.00037	0	0.00264	0.00059	0.00186	0	0.02088	0.31118	0.02645	0.00416	0.00444	0.00343	0.00545	0.00218	0
SGB29861	0.03811	0.00668	0.08067	0	0	0.00834	0.00165	0	0.00774	0	0.00479	0	0.01413	0	0.0172	0	0.02027	7.00E-05	0	0	0.00055	0.0002	0.02652	0	0.00511	0	0.04914	0.00414	0	0	0.00024	0.06867	0.0595	0.09697	0.02627	0.02567	0.02597	0.03042	0.01971	0.00618	0	0	0	0	0.15965	0.21265	0.14391	0.04831	0.05088	0.04847	0.03509	0	0	0.00022	0.00244	0.0036	0.00497	0	0.00342	0	0	0	0.0134	0	0.00186	0	0	0	0	7.00E-05	0	0.00042	0.00317	0.00298	0.00163
SGB7674	0.0381	0.00748	0.00497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0	0	0	0	0.0155	0.02437	0.02806	0.0164	0.01687	0.01224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB4602	0.03718	0.00157	0.03422	0	0	0.03464	0.01422	0	0.02693	0	0.02263	0	0.0103	0	0.00883	0	0.0056	0	0.01847	0	0.01481	0	0.00489	0	0.02394	0	0	0	0	0	0	0	0	0.00353	0	0	0	0.00085	0	0.00175	0	0	0	0	0.00569	0.00813	0.01125	0	0	0	0.00145	0	0.0388	0	0.00882	0	0.00205	0	0.01065	0	0.05236	0	0.0171	0	0.01197	0	0	0	0	0.00922	0.01188	0.02133	0.04259	0	0
SGB15161	0.03576	0.00361	0.03346	0	0	0.02654	0.02721	0	0.04079	0	0.0404	0	0.01427	0	0.01776	0	0.00739	0	0.02105	0	0.02184	0	0.0032	0	0.03061	0	0	0	0	0	0	0	0	0	0	0	0	0.00042	0	0.00338	0	0	0	0	0.00347	0.00435	0.01157	0	0	0	0.00191	0	0.03737	0	0.01027	0	0.00489	0	0.00931	0	0.06582	0	0.01644	0	0.01273	0	0	0	0	0.00495	0.00989	0.01367	0.01717	0	0
SGB87563	0.03437	0.00231	0.01996	0	0	0.00369	0.00471	0	0.01019	0	0.00242	0	0.00176	0	0.00016	0	0.00056	0	0	0	0	0	0.00022	0	0	0	0.0381	0	0	0	0	0.02688	0.02866	0.0247	0.00203	0.00669	0.00499	0.01106	0.00134	0.06281	0	0	0	0	0.00696	0.00646	0.0068	0.00071	0.00081	0.0016	0.0008	0	0	0	0.00038	0.00028	0	0	0.00051	0	0	0	0	0	7.00E-05	0	0	0	0	0	0	0	0	0	0
SGB79035	0.03396	0	0.00605	0	0	0	0	0	7.00E-05	0	0	0	0.06747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08258	0.1421	0.10532	0.02021	0.01485	0.014	0.02632	0	0	0	0	0	0	0.37092	0.5239	0.36206	0.03345	0.02118	0.04393	0.74225	0	0	0.00256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB16648	0.03333	0.07978	0.04738	0.00825	0	5.3633	0.0094	0	0.075	0	0.05374	0.02452	0.00086	0.01689	0.02061	0	0.00039	0	0	0.06204	0	0	0.01779	0	0.00081	0	0	0	0.19578	0.07511	0.13622	0	0	0	0	0	0.00188	0.01923	0.39774	0.14061	0.001	0	0	0	0.02002	0.01183	0.03323	0	0	0	0.03076	0	0	0	0	0.00643	0.913	0	0	0.00033	0	0	0	0.00142	0	0	0.00066	0.00618	0.00135	0	0	0	0.00564	0.02	0.01999
SGB66234	0.033	0	0.00201	0	0	0.00381	0	0	0	0	0	0	0.00628	0	0.01881	0	0.0205	0	0.0013	0	0.02318	0	0.01004	0	0.0029	0	0.00352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00248	0.0026	0.10421	0	0.00285	0	0.00043	0	0	0	6.00E-05	0	0	0	0	0	0	0	0	0	0
